"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.instantiatesCanonical","RequestOrchestration.instantiatesCanonical","","","",0,*,"","","Y","canonical {[]} {[]}
","Instantiates FHIR protocol or definition","A canonical URL referencing a FHIR-defined protocol, guideline, orderset or other definition that is adhered to in whole or in part by this request.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.instantiatesCanonical",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.instantiatesUri","RequestOrchestration.instantiatesUri","","","",0,*,"","","Y","uri {[]} {[]}
","Instantiates external protocol or definition","A URL referencing an externally defined protocol, guideline, orderset or other definition that is adhered to in whole or in part by this request.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.instantiatesUri",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.basedOn","RequestOrchestration.basedOn","","fulfills
","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Fulfills plan, proposal, or order","A plan, proposal or order that is fulfilled in whole or in part by this request.","","Allows tracing of authorization for the request and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"RequestOrchestration.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.replaces","RequestOrchestration.replaces","","supersedes
priorrenewed order","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Request(s) replaced by this request","Completed or terminated request(s) whose function is taken by this new request.","The replacement could be because the initial request was immediately rejected (due to an issue) or because the previous request was completed, but the need for the action described by the request remains ongoing.","Allows tracing the continuation of a therapy or administrative process instantiated through multiple requests.","","","","","","","",,,,,"",,,,"RequestOrchestration.replaces",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.groupIdentifier","RequestOrchestration.groupIdentifier","","grouperid
requisition","",0,1,"","","Y","Identifier {[]} {[]}
","Composite request this is part of","A shared identifier common to multiple independent Request instances that were activated/authorized more or less simultaneously by a single author.  The presence of the same identifier on each request ties those requests together and may have business ramifications in terms of reporting of results, billing, etc.  E.g. a requisition number shared by a set of lab tests ordered together, or a prescription number shared by all meds ordered at one time.","Requests are linked either by a ""basedOn"" relationship (i.e. one request is fulfilling another) or by having a common requisition.  Requests that are part of the same requisition are generally treated independently from the perspective of changing their state or maintaining them after initial creation.","Some business processes need to know if multiple items were ordered as part of the same ""prescription"" or ""requisition"" for billing or other purposes.","","","","","","","",,,,,"",,,,"RequestOrchestration.groupIdentifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.status","RequestOrchestration.status","","","",1,1,"","Y","Y","code {[]} {[]}
","For CDA compatability: always completed, even if the prescription is still be acted upon. | Für CDA-Kompatibilität: immer abgeschlossen, auch wenn das Rezept noch bearbeitet werden muss.","The current state of the request. For request orchestrations, the status reflects the status of all the requests in the orchestration.","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,"required","Codes identifying the lifecycle stage of a request.","http://hl7.org/fhir/ValueSet/request-status|5.0.0","",,,,"RequestOrchestration.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.intent","RequestOrchestration.intent","","category
","",1,1,"","Y","Y","code {[]} {[]}
","	The prescription represents a request/demand and authorization for action by the requestor. | Das Rezept stellt eine Anfrage/Anforderung und Ermächtigung zum Handeln durch den Antragsteller dar.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","Proposals/recommendations, plans and orders all use the same structure and can exist in the same fulfillment chain.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""order""/>","","","",,"required","Codes indicating the degree of authority/intentionality associated with a request.","http://hl7.org/fhir/ValueSet/request-intent|5.0.0","",,,,"RequestOrchestration.intent",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.priority","RequestOrchestration.priority","","","",0,1,"","","Y","code {[]} {[]}
","routine | urgent | asap | stat","Indicates how quickly the request should be addressed with respect to other requests.","","","","If missing, this request should be performed with normal priority","","","","","",,"required","Identifies the level of importance to be assigned to actioning the request.","http://hl7.org/fhir/ValueSet/request-priority|5.0.0","",,,,"RequestOrchestration.priority",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.code","RequestOrchestration.code","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Prescription type, default 'Kassen', still must be stated | Rezeptart, standardmäßig „Kassen“, muss jedoch angegeben werden","A code that identifies what the overall request orchestration is.","This element can be used to provide a code that captures the meaning of the request orchestration as a whole, as opposed to the code of the action element, which captures the meaning of the individual actions within the request orchestration.","","","","","","","","",,"required","","https://termgit.elga.gv.at/ValueSet/elga-medikationrezeptart","",,,,"RequestOrchestration.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.subject","RequestOrchestration.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.at/fhir/HL7ATCoreProfiles/5.0.0/StructureDefinition/at-core-patient]]}
","Associated HL7 Austria patient. | Zugewiesener HL7 AustriaPatient","The subject for which the request orchestration was created.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.encounter","RequestOrchestration.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Created as part of","Describes the context of the request orchestration, if any.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.authoredOn","RequestOrchestration.authoredOn","","","",1,1,"","","","dateTime {[]} {[]}
","When the prescription was authored | Wann das Rezept verfasst wurde","Indicates when the request orchestration was created.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.authoredOn",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.author","RequestOrchestration.author","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Creator of the proposal | Ersteller des Rezepts","Provides a reference to the author of the request orchestration.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.reason","RequestOrchestration.reason","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport], CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Why the request orchestration is needed","Describes the reason for the request orchestration in coded or textual form.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/action-reason-code","",,,,"RequestOrchestration.reason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.goal","RequestOrchestration.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal]]}
","What goals","Goals that are intended to be achieved by following the requests in this RequestOrchestration.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.goal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.note","RequestOrchestration.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional notes about the response","Provides a mechanism to communicate additional information about the response.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action","RequestOrchestration.action","","","",0,*,"","","","BackboneElement {[]} {[]}
","Proposed actions, if any","The actions, if any, produced by the evaluation of the artifact.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
rqg-1:Must have resource or action but not both {resource.exists() != action.exists()}"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.id","RequestOrchestration.action.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.extension","RequestOrchestration.action.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.modifierExtension","RequestOrchestration.action.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.linkId","RequestOrchestration.action.linkId","","","",0,1,"","","","string {[]} {[]}
","Pointer to specific item from the PlanDefinition","The linkId of the action from the PlanDefinition that corresponds to this action in the RequestOrchestration resource.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.linkId",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.prefix","RequestOrchestration.action.prefix","","","",0,1,"","","","string {[]} {[]}
","User-visible prefix for the action (e.g. 1. or A.)","A user-visible prefix for the action. For example a section or item numbering such as 1. or A.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.prefix",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.title","RequestOrchestration.action.title","","","",0,1,"","","","string {[]} {[]}
","User-visible title","The title of the action displayed to a user.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.description","RequestOrchestration.action.description","","","",0,1,"","","Y","markdown {[]} {[]}
","Short description of the action","A short description of the action used to provide a summary to display to the user.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.textEquivalent","RequestOrchestration.action.textEquivalent","","","",0,1,"","","Y","markdown {[]} {[]}
","Static text equivalent of the action, used if the dynamic aspects cannot be interpreted by the receiving system","A text equivalent of the action to be performed. This provides a human-interpretable description of the action when the definition is consumed by a system that might not be capable of interpreting it dynamically.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.textEquivalent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.priority","RequestOrchestration.action.priority","","","",0,1,"","","","code {[]} {[]}
","routine | urgent | asap | stat","Indicates how quickly the action should be addressed with respect to other actions.","","","","","","","","","",,"required","Identifies the level of importance to be assigned to actioning the request.","http://hl7.org/fhir/ValueSet/request-priority|5.0.0","",,,,"RequestOrchestration.action.priority",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.code","RequestOrchestration.action.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code representing the meaning of the action or sub-actions","A code that provides meaning for the action or action group. For example, a section may have a LOINC code for a section of a documentation template.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/action-code","",,,,"RequestOrchestration.action.code",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.documentation","RequestOrchestration.action.documentation","","","",0,*,"","","","RelatedArtifact {[]} {[]}
","Supporting documentation for the intended performer of the action","Didactic or other informational resources associated with the action that can be provided to the CDS recipient. Information resources can include inline text commentary and links to web resources.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.documentation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.goal","RequestOrchestration.action.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal]]}
","What goals","Goals that are intended to be achieved by following the requests in this action.","","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.goal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition","RequestOrchestration.action.condition","","","",0,*,"","","","BackboneElement {[]} {[]}
","Whether or not the action is applicable","An expression that describes applicability criteria, or start/stop conditions for the action.","When multiple conditions of the same kind are present, the effects are combined using AND semantics, so the overall condition is true only if all of the conditions are true.","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.condition",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition.id","RequestOrchestration.action.condition.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition.extension","RequestOrchestration.action.condition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition.modifierExtension","RequestOrchestration.action.condition.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition.kind","RequestOrchestration.action.condition.kind","","","",1,1,"","","","code {[]} {[]}
","applicability | start | stop","The kind of condition.","Applicability criteria are used to determine immediate applicability when a plan definition is applied to a given context. Start and stop criteria are carried through application and used to describe enter/exit criteria for an action.","","","","","","","","",,"required","The kind of condition for the action.","http://hl7.org/fhir/ValueSet/action-condition-kind|5.0.0","",,,,"RequestOrchestration.action.condition.kind",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"eMed-prescription-with-multiple-eMed-requests","RequestOrchestration.action.condition.expression","RequestOrchestration.action.condition.expression","","","",0,1,"","","","Expression {[]} {[]}
","Boolean-valued expression","An expression that returns true or false, indicating whether or not the condition is satisfied.","The expression may be inlined, or may be a reference to a named expression within a logic library referenced by the library element.","","","","","","","","",,,,,"",,,,"RequestOrchestration.action.condition.expression",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
