Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1588	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	59	173	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3264	1	0	5	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	37	130	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4216	2	0	11	5	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	86	275	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2163	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	38	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-location.json	3499	2	0	28	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	147	434	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-at-core-organization.json	5051	1	0	47	0	0	0	0	0	145	0	0	0	0	0	0	0	1	0	0	0	249	486	0	0	0	8	1	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	28406	5	0	122	0	0	1	0	1	325	0	0	1	0	0	0	0	3	0	0	0	728	1411	0	0	0	26	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4617	2	0	46	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	197	812	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1532	0	0	18	0	0	0	0	0	121	0	0	0	0	0	0	0	1	0	0	0	177	149	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2461	1	0	44	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	252	245	0	0	0	7	0	1
/input/includes/menu.xml	560	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2023	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-organization-intro.md	845	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-practitioner-intro.md	646	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-at-core-patient-notes.md	754	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	4717	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/hl7at.site.logo.png	2602	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/Shorty.png	8143	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	19013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
