"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: LKF","Mapping: KaOrg"
"Coverage.identifier:VDASID","Coverage.identifier","VDASID","","",0,1,"","","Y","Identifier {[]} {[]}
","KaOrg: VDAS-ID - Ergebnis der Abfrage","The identifier of the coverage as issued by the insurer.","The main (and possibly only) identifier for the coverage - often referred to as a Member Id, Certificate number, Personal Health Number or Case ID. May be constructed as the concatenation of the Coverage.SubscriberID and the Coverage.dependant. Note that not all insurers issue unique member IDs therefore searches may result in multiple responses.","Allows coverages to be distinguished and referenced.","","","","","","","",,,,,"",,,,"Coverage.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","VDAS-ID - Ergebnis der Abfrage"
"Coverage.identifier:VDASID.id","Coverage.identifier.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Coverage.identifier:VDASID.extension","Coverage.identifier.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Coverage.identifier:VDASID.use","Coverage.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary | old (If known)","The purpose of this identifier.","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use|5.0.0","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.identifier:VDASID.type","Coverage.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type|5.0.0","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.identifier:VDASID.system","Coverage.identifier.system","","","",1,1,"","","Y","uri {[]} {[]}
","The namespace for the identifier value","Establishes the namespace for the value - that is, an absolute URL that describes a set values that are unique.","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""urn:oid:1.2.40.0.10.1.4.3.9.1""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.identifier:VDASID.value","Coverage.identifier.value","","","",0,1,"","","Y","string {[]} {[]}
","The value that is unique","The portion of the identifier typically relevant to the user and which is unique within the context of the system.","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [http://hl7.org/fhir/StructureDefinition/rendered-value](http://hl7.org/fhir/extensions/StructureDefinition-rendered-value.html)). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"ident-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.identifier:VDASID.period","Coverage.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.identifier:VDASID.assigner","Coverage.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://elga.moped.at/StructureDefinition/KAOrganization]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.status","Coverage.status","","","",1,1,"","Y","Y","code {[]} {[]}
","active | cancelled | draft | entered-in-error","The status of the resource instance.","This element is labeled as a modifier because the status contains the code entered-in-error that marks the coverage as not currently valid.","Need to track the status of the resource as 'draft' resources may undergo further edits while 'active' resources are immutable and may only have their status changed to 'cancelled'.","","","","","","","",,"required","A code specifying the state of the resource instance.","http://hl7.org/fhir/ValueSet/fm-status|5.0.0","",,,,"Coverage.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.kind","Coverage.kind","","","",1,1,"","","Y","code {[]} {[]}
","insurance | self-pay | other","The nature of the coverage be it insurance, or cash payment such as self-pay.","","This is used to implement conformance on other elements.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""insurance""/>","","","",,"required","","http://hl7.org/fhir/ValueSet/coverage-kind|5.0.0","",,,,"Coverage.kind",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.paymentBy","Coverage.paymentBy","","","",0,*,"","","","BackboneElement {[]} {[]}
","Self-pay parties and responsibility","Link to the paying party and optionally what specifically they will be responsible to pay.","","","","","","","","","",,,,,"",,,,"Coverage.paymentBy",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.paymentBy.id","Coverage.paymentBy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Coverage.paymentBy.extension","Coverage.paymentBy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Coverage.paymentBy.modifierExtension","Coverage.paymentBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Coverage.paymentBy.party","Coverage.paymentBy.party","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Parties performing self-payment","The list of parties providing non-insurance payment for the treatment costs.","","","","","","","","","",,,,,"",,,,"Coverage.paymentBy.party",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.paymentBy.responsibility","Coverage.paymentBy.responsibility","","","",0,1,"","","Y","string {[]} {[]}
","Party's responsibility"," Description of the financial responsibility.","","","","","","","","","",,,,,"",,,,"Coverage.paymentBy.responsibility",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.type","Coverage.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Coverage category such as medical or accident","The type of coverage: social program, medical plan, accident coverage (workers compensation, auto), group health or payment by an individual or organization.","","The order of application of coverages is dependent on the types of coverage.","","","","","","","",,"preferred","The type of insurance: public health, worker compensation; private accident, auto, private health, etc.) or a direct payment by an individual or organization.","http://hl7.org/fhir/ValueSet/coverage-type|5.0.0","",,,,"Coverage.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.policyHolder","Coverage.policyHolder","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://elga.moped.at/StructureDefinition/MopedPatient], CanonicalType[https://elga.moped.at/StructureDefinition/Hauptversicherter]]}
","Owner of the policy","The party who 'owns' the insurance policy.","For example: may be an individual, corporation or the subscriber's employer.","This provides employer information in the case of Worker's Compensation and other policies.","","","","","","","",,,,,"",,,,"Coverage.policyHolder",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.subscriber","Coverage.subscriber","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|5.0.0]]}
","Subscriber to the policy","The party who has signed-up for or 'owns' the contractual relationship to the policy or to whom the benefit of the policy for services rendered to them or their family is due.","May be self or a parent in the case of dependants. A subscriber is only required on certain types of policies not all policies and that it is appropriate to have just a policyholder and a beneficiary when not other party can join that policy instance.","This is the party who is entitled to the benfits under the policy.","","","","","","","",,,,,"",,,,"Coverage.subscriber",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.subscriberId","Coverage.subscriberId","","","",0,*,"","","Y","Identifier {[]} {[]}
","ID assigned to the subscriber","The insurer assigned ID for the Subscriber.","","The insurer requires this identifier on correspondance and claims (digital and otherwise).","","","","","","","",,,,,"",,,,"Coverage.subscriberId",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.beneficiary","Coverage.beneficiary","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[https://elga.moped.at/StructureDefinition/MopedPatient]]}
","Plan beneficiary","The party who benefits from the insurance coverage; the patient when products and/or services are provided.","","This is the party who receives treatment for which the costs are reimbursed under the coverage.","","","","","","","",,,,,"",,,,"Coverage.beneficiary",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.dependent","Coverage.dependent","","","",0,1,"","","Y","string {[]} {[]}
","Dependent number","A designator for a dependent under the coverage.","Sometimes the member number is constructed from the subscriberId and the dependant number.","For some coverages a single identifier is issued to the Subscriber and then an additional dependent number is issued to each beneficiary.","","","","","","","",,,,,"",,,,"Coverage.dependent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.relationship","Coverage.relationship","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Beneficiary relationship to the subscriber","The relationship of beneficiary (patient) to the subscriber.","Typically, an individual uses policies which are theirs (relationship='self') before policies owned by others.","The relationship between the patient and the subscriber to determine coordination of benefits.","","","","","","","",,"extensible","The relationship between the Subscriber and the Beneficiary (insured/covered party/patient).","http://hl7.org/fhir/ValueSet/subscriber-relationship|5.0.0","",,,,"Coverage.relationship",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.period","Coverage.period","","","",0,1,"","","Y","Period {[]} {[]}
","Coverage start and end dates","Time period during which the coverage is in force. A missing start date indicates the start date isn't known, a missing end date means the coverage is continuing to be in force.","","Some insurers require the submission of the coverage term.","","","","","","","",,,,,"",,,,"Coverage.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.insurer","Coverage.insurer","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[https://elga.moped.at/StructureDefinition/SVOrganization]]}
","LKF: Leistungszuständiger Kostenträger – Code","The program or plan underwriter, payor, insurance company.","May provide multiple identifiers such as insurance company identifier or business identifier (BIN number).","Need to identify the issuer to target for claim processing and for coordination of benefit processing.","","","","","","","",,,,,"",,,,"Coverage.insurer",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class","Coverage.class","","","",0,*,"","","","BackboneElement {[]} {[]}
","Additional coverage classifications","A suite of underwriter specific classifiers.","For example, class may be used to identify a class of coverage or employer group, policy, or plan.","The codes provided on the health card which identify or confirm the specific policy for the insurer.","","","","","","","",,,,,"","value:type.coding}
","",,"open","Coverage.class",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class.id","Coverage.class.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Coverage.class.extension","Coverage.class.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Coverage.class.modifierExtension","Coverage.class.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Coverage.class.type","Coverage.class.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Type of class such as 'group' or 'plan'","The type of classification for which an insurer-specific class label or number and optional name is provided.  For example, type may be used to identify a class of coverage or employer group, policy, or plan.","","The insurer issued label for a specific health card value.","","","","","","","",,"extensible","The policy classifications, e.g. Group, Plan, Class, etc.","http://hl7.org/fhir/ValueSet/coverage-class|5.0.0","",,,,"Coverage.class.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class.value","Coverage.class.value","","","",1,1,"","","Y","Identifier {[]} {[]}
","Value associated with the type","The alphanumeric identifier associated with the insurer issued label.","For example, the Group or Plan number.","The insurer issued label and identifier are necessary to identify the specific policy, group, etc..","","","","","","","",,,,,"",,,,"Coverage.class.value",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class.name","Coverage.class.name","","","",0,1,"","","Y","string {[]} {[]}
","Human readable description of the type and value","A short description for the class.","","Used to provide a meaningful description in correspondence to the patient.","","","","","","","",,,,,"",,,,"Coverage.class.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class:Versichertenkategorien","Coverage.class","Versichertenkategorien","","",0,1,"","","","BackboneElement {[]} {[]}
","KaOrg: Versichertengruppe/Kategorie","A suite of underwriter specific classifiers.","For example, class may be used to identify a class of coverage or employer group, policy, or plan.","The codes provided on the health card which identify or confirm the specific policy for the insurer.","","","","","","","",,,,,"",,,,"Coverage.class",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Coverage.class:Versichertenkategorien.id","Coverage.class.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"Coverage.class:Versichertenkategorien.extension","Coverage.class.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
